text,label
"The movie wasn't bad at all, actually quite enjoyable.",positive
"I wouldn't call it terrible, more just forgettable.",neutral
"Oh great, another sequel that ruins the original.",negative
"Honestly? Not what I expected, but I'm not complaining.",positive
"The acting was riveting even though the plot dragged.",neutral
"A truly captivating experience from start to finish.",positive
"Underwhelming is putting it kindly.",negative
"This gadget is a total lemon, broke within a week.",negative
"Meh, it was fine, I guess. Nothing to write home about.",neutral
"So good I watched it twice in one weekend!",positive
"The food was lukewarm and the service was slower still.",negative
"Not the worst meal I've had, but far from memorable.",neutral
"Phenomenal cinematography, though the story felt thin.",neutral
"I can't stop thinking about how good this was.",positive
"This device does exactly what it says. No complaints.",positive
"Save your money, this was a huge letdown.",negative
"It's decent for the price, nothing more, nothing less.",neutral
"Dull, dull, dull. I nearly fell asleep.",negative
"Way better than I expected going in!",positive
"The plot twist was lame and honestly kind of insulting.",negative
"A solid, if unspectacular, addition to the franchise.",neutral
"I've never been so disappointed by a five-star restaurant.",negative
"Genuinely one of the best purchases I've made this year.",positive
"It works, but the build quality feels cheap.",neutral
"Breathtaking visuals paired with a story that actually lands.",positive
"Not amazing, not awful, just kind of there.",neutral
"This left me speechless in the best possible way.",positive
"Painfully slow and the ending made no sense.",negative
"Pretty average overall, wouldn't go out of my way to recommend it.",neutral
"An absolute triumph, exceeded every expectation I had.",positive
